Precinct,"MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 1-:-Tracye Cutts-Strichik-:-REP","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 1-:-Write-In-:-NON","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 1-:-Over Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 1-:-Under Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 2-:-Kim Crockett-:-REP","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 2-:-Write-In-:-NON","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 2-:-Over Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 2-:-Under Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 3-:-Ell White II-:-DEM","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 3-:-Jamie Jackson-:-REP","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 3-:-Write-In-:-NON","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 3-:-Over Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 3-:-Under Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 4-:-Billy Hollon-:-REP","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 4-:-Write-In-:-NON","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 4-:-Over Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 4-:-Under Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 5-:-Ledronia Goodwin-:-DEM","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 5-:-Kyle Glover-:-REP","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 5-:-Write-In-:-NON","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 5-:-Over Votes","MEMBER, AUTAUGA CO BOARD OF EDUCATION, DISTRICT NO. 5-:-Under Votes"
001-10 JONES COMM_ CTR_-:-AUTAUGA,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,78,135,0,0,4
001-100 TRINITY METHODIST-:-AUTAUGA,712,3,0,88,716,15,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-110 CENTRAL AL ELECTRIC-:-AUTAUGA,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,101,78,0,0,4
001-140 AUTAUGAVILLE VFD-:-AUTAUGA,0,0,0,0,150,0,0,9,0,0,0,0,0,0,0,0,0,182,158,1,0,1
001-150 PRATTMONT BAPTIST-:-AUTAUGA,0,0,0,0,478,13,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-160 DOSTER COMM_ CTR_-:-AUTAUGA,0,0,0,0,236,2,0,26,355,1891,1,0,38,0,0,0,0,526,640,2,2,22
001-170 CAMELLIA BAPTIST-:-AUTAUGA,0,0,0,0,545,11,0,131,0,0,0,0,0,0,0,0,0,155,132,0,0,5
001-180 OLD KINGSTON VFD-:-AUTAUGA,0,0,0,0,0,0,0,0,43,163,0,0,2,0,0,0,0,137,116,0,1,6
001-20 HERITAGE BAPTIST-:-AUTAUGA,1081,16,0,204,338,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-220 UPPER KINGSTON-:-AUTAUGA,0,0,0,0,1,0,0,0,0,0,0,0,0,644,14,0,123,0,0,0,0,0
001-230 COUNTY LINE BAPTIST-:-AUTAUGA,0,0,0,0,0,0,0,0,0,0,0,0,0,761,5,0,85,0,0,0,0,0
001-240 GLYNWOOD BAPTIST-:-AUTAUGA,1008,29,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-30 BILLINGSLEY COMM_ CTR_-:-AUTAUGA,0,0,0,0,0,0,0,0,23,313,0,0,2,0,0,0,0,0,0,0,0,0
001-40 CENTRAL AL COMM_ COLLEGE-:-AUTAUGA,0,0,0,0,648,23,0,206,0,0,0,0,0,383,8,0,66,0,0,0,0,0
001-50 WHITE CITY VFD-:-AUTAUGA,0,0,0,0,0,0,0,0,72,252,0,0,0,0,0,0,0,13,14,0,0,0
001-60 MARBURY MIDDLE SCHOOL-:-AUTAUGA,0,0,0,0,0,0,0,0,14,60,0,0,0,448,2,0,49,0,0,0,0,0
001-70 BOONE'S CHAPEL-:-AUTAUGA,0,0,0,0,0,0,0,0,36,288,0,0,7,918,11,0,97,0,0,0,0,0
001-80 FRIENDSHIP BAPTIST-:-AUTAUGA,0,0,0,0,0,0,0,0,6,74,0,0,0,0,0,0,0,111,92,1,1,3
001-90 BOOTH VFD-:-AUTAUGA,0,0,0,0,0,0,0,0,46,261,1,0,2,0,0,0,0,74,193,0,0,2
