Precinct,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,voters_gender_m,voters_gender_f,voters_gender_unknown,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_21,eth2_14,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk,languages_description_english,languages_description_spanish,languages_description_vietnamese,languages_description_chinese,languages_description_hindi,languages_description_korean,languages_description_other,languages_description_unknown,commercialdata_estimatedhhincomeamount_avg,g20221108_voted_all,g20221108_reg_all,g20221108_voted_gender_m,g20221108_reg_gender_m,g20221108_voted_gender_f,g20221108_reg_gender_f,g20221108_voted_gender_unk,g20221108_reg_gender_unk,g20221108_voted_eur,g20221108_reg_eur,g20221108_voted_hisp,g20221108_reg_hisp,g20221108_voted_aa,g20221108_reg_aa,g20221108_voted_esa,g20221108_reg_esa,g20221108_voted_oth,g20221108_reg_oth,g20221108_voted_unk,g20221108_reg_unk,r20220920_voted_all,r20220920_reg_all,r20220920_voted_gender_m,r20220920_reg_gender_m,r20220920_voted_gender_f,r20220920_reg_gender_f,r20220920_voted_gender_unk,r20220920_reg_gender_unk,r20220920_voted_eur,r20220920_reg_eur,r20220920_voted_hisp,r20220920_reg_hisp,r20220920_voted_aa,r20220920_reg_aa,r20220920_voted_esa,r20220920_reg_esa,r20220920_voted_oth,r20220920_reg_oth,r20220920_voted_unk,r20220920_reg_unk,s20220712_voted_all,s20220712_reg_all,s20220712_voted_gender_m,s20220712_reg_gender_m,s20220712_voted_gender_f,s20220712_reg_gender_f,s20220712_voted_gender_unk,s20220712_reg_gender_unk,s20220712_voted_eur,s20220712_reg_eur,s20220712_voted_hisp,s20220712_reg_hisp,s20220712_voted_aa,s20220712_reg_aa,s20220712_voted_esa,s20220712_reg_esa,s20220712_voted_oth,s20220712_reg_oth,s20220712_voted_unk,s20220712_reg_unk,r20220621_voted_all,r20220621_reg_all,r20220621_voted_gender_m,r20220621_reg_gender_m,r20220621_voted_gender_f,r20220621_reg_gender_f,r20220621_voted_gender_unk,r20220621_reg_gender_unk,r20220621_voted_eur,r20220621_reg_eur,r20220621_voted_hisp,r20220621_reg_hisp,r20220621_voted_aa,r20220621_reg_aa,r20220621_voted_esa,r20220621_reg_esa,r20220621_voted_oth,r20220621_reg_oth,r20220621_voted_unk,r20220621_reg_unk,s20220524_voted_all,s20220524_reg_all,s20220524_voted_gender_m,s20220524_reg_gender_m,s20220524_voted_gender_f,s20220524_reg_gender_f,s20220524_voted_gender_unk,s20220524_reg_gender_unk,s20220524_voted_eur,s20220524_reg_eur,s20220524_voted_hisp,s20220524_reg_hisp,s20220524_voted_aa,s20220524_reg_aa,s20220524_voted_esa,s20220524_reg_esa,s20220524_voted_oth,s20220524_reg_oth,s20220524_voted_unk,s20220524_reg_unk,p20220524_voted_all,p20220524_reg_all,p20220524_voted_gender_m,p20220524_reg_gender_m,p20220524_voted_gender_f,p20220524_reg_gender_f,p20220524_voted_gender_unk,p20220524_reg_gender_unk,p20220524_voted_eur,p20220524_reg_eur,p20220524_voted_hisp,p20220524_reg_hisp,p20220524_voted_aa,p20220524_reg_aa,p20220524_voted_esa,p20220524_reg_esa,p20220524_voted_oth,p20220524_reg_oth,p20220524_voted_unk,p20220524_reg_unk,s20220322_voted_all,s20220322_reg_all,s20220322_voted_gender_m,s20220322_reg_gender_m,s20220322_voted_gender_f,s20220322_reg_gender_f,s20220322_voted_gender_unk,s20220322_reg_gender_unk,s20220322_voted_eur,s20220322_reg_eur,s20220322_voted_hisp,s20220322_reg_hisp,s20220322_voted_aa,s20220322_reg_aa,s20220322_voted_esa,s20220322_reg_esa,s20220322_voted_oth,s20220322_reg_oth,s20220322_voted_unk,s20220322_reg_unk,s20220111_voted_all,s20220111_reg_all,s20220111_voted_gender_m,s20220111_reg_gender_m,s20220111_voted_gender_f,s20220111_reg_gender_f,s20220111_voted_gender_unk,s20220111_reg_gender_unk,s20220111_voted_eur,s20220111_reg_eur,s20220111_voted_hisp,s20220111_reg_hisp,s20220111_voted_aa,s20220111_reg_aa,s20220111_voted_esa,s20220111_reg_esa,s20220111_voted_oth,s20220111_reg_oth,s20220111_voted_unk,s20220111_reg_unk,s20211005_voted_all,s20211005_reg_all,s20211005_voted_gender_m,s20211005_reg_gender_m,s20211005_voted_gender_f,s20211005_reg_gender_f,s20211005_voted_gender_unk,s20211005_reg_gender_unk,s20211005_voted_eur,s20211005_reg_eur,s20211005_voted_hisp,s20211005_reg_hisp,s20211005_voted_aa,s20211005_reg_aa,s20211005_voted_esa,s20211005_reg_esa,s20211005_voted_oth,s20211005_reg_oth,s20211005_voted_unk,s20211005_reg_unk,r20211005_voted_all,r20211005_reg_all,r20211005_voted_gender_m,r20211005_reg_gender_m,r20211005_voted_gender_f,r20211005_reg_gender_f,r20211005_voted_gender_unk,r20211005_reg_gender_unk,r20211005_voted_eur,r20211005_reg_eur,r20211005_voted_hisp,r20211005_reg_hisp,r20211005_voted_aa,r20211005_reg_aa,r20211005_voted_esa,r20211005_reg_esa,r20211005_voted_oth,r20211005_reg_oth,r20211005_voted_unk,r20211005_reg_unk,r20210914_voted_all,r20210914_reg_all,r20210914_voted_gender_m,r20210914_reg_gender_m,r20210914_voted_gender_f,r20210914_reg_gender_f,r20210914_voted_gender_unk,r20210914_reg_gender_unk,r20210914_voted_eur,r20210914_reg_eur,r20210914_voted_hisp,r20210914_reg_hisp,r20210914_voted_aa,r20210914_reg_aa,r20210914_voted_esa,r20210914_reg_esa,r20210914_voted_oth,r20210914_reg_oth,r20210914_voted_unk,r20210914_reg_unk,s20210907_voted_all,s20210907_reg_all,s20210907_voted_gender_m,s20210907_reg_gender_m,s20210907_voted_gender_f,s20210907_reg_gender_f,s20210907_voted_gender_unk,s20210907_reg_gender_unk,s20210907_voted_eur,s20210907_reg_eur,s20210907_voted_hisp,s20210907_reg_hisp,s20210907_voted_aa,s20210907_reg_aa,s20210907_voted_esa,s20210907_reg_esa,s20210907_voted_oth,s20210907_reg_oth,s20210907_voted_unk,s20210907_reg_unk,r20210413_voted_all,r20210413_reg_all,r20210413_voted_gender_m,r20210413_reg_gender_m,r20210413_voted_gender_f,r20210413_reg_gender_f,r20210413_voted_gender_unk,r20210413_reg_gender_unk,r20210413_voted_eur,r20210413_reg_eur,r20210413_voted_hisp,r20210413_reg_hisp,r20210413_voted_aa,r20210413_reg_aa,r20210413_voted_esa,r20210413_reg_esa,r20210413_voted_oth,r20210413_reg_oth,r20210413_voted_unk,r20210413_reg_unk,g20201103_voted_all,g20201103_reg_all,g20201103_voted_gender_m,g20201103_reg_gender_m,g20201103_voted_gender_f,g20201103_reg_gender_f,g20201103_voted_gender_unk,g20201103_reg_gender_unk,g20201103_voted_eur,g20201103_reg_eur,g20201103_voted_hisp,g20201103_reg_hisp,g20201103_voted_aa,g20201103_reg_aa,g20201103_voted_esa,g20201103_reg_esa,g20201103_voted_oth,g20201103_reg_oth,g20201103_voted_unk,g20201103_reg_unk,r20201006_voted_all,r20201006_reg_all,r20201006_voted_gender_m,r20201006_reg_gender_m,r20201006_voted_gender_f,r20201006_reg_gender_f,r20201006_voted_gender_unk,r20201006_reg_gender_unk,r20201006_voted_eur,r20201006_reg_eur,r20201006_voted_hisp,r20201006_reg_hisp,r20201006_voted_aa,r20201006_reg_aa,r20201006_voted_esa,r20201006_reg_esa,r20201006_voted_oth,r20201006_reg_oth,r20201006_voted_unk,r20201006_reg_unk,pp20200303_voted_all,pp20200303_reg_all,pp20200303_voted_gender_m,pp20200303_reg_gender_m,pp20200303_voted_gender_f,pp20200303_reg_gender_f,pp20200303_voted_gender_unk,pp20200303_reg_gender_unk,pp20200303_voted_eur,pp20200303_reg_eur,pp20200303_voted_hisp,pp20200303_reg_hisp,pp20200303_voted_aa,pp20200303_reg_aa,pp20200303_voted_esa,pp20200303_reg_esa,pp20200303_voted_oth,pp20200303_reg_oth,pp20200303_voted_unk,pp20200303_reg_unk,p20200303_voted_all,p20200303_reg_all,p20200303_voted_gender_m,p20200303_reg_gender_m,p20200303_voted_gender_f,p20200303_reg_gender_f,p20200303_voted_gender_unk,p20200303_reg_gender_unk,p20200303_voted_eur,p20200303_reg_eur,p20200303_voted_hisp,p20200303_reg_hisp,p20200303_voted_aa,p20200303_reg_aa,p20200303_voted_esa,p20200303_reg_esa,p20200303_voted_oth,p20200303_reg_oth,p20200303_voted_unk,p20200303_reg_unk
001 - NO BLOCK ASSIGNMENT,476,0,38,62,43,88,90,77,49,21,8,225,249,2,288,130,58,0,0,320,7,111,6,5,27,320,108,7,3,1,1,2,3,2,0,1,0,0,0,27,200,0,1,0,1,0,2,272,85955.0,186,474,94,224,92,248,0,2,141,320,1,7,35,110,0,5,0,5,9,27,0,474,0,224,0,248,0,2,0,320,0,7,0,110,0,5,0,5,0,27,0,467,0,222,0,243,0,2,0,316,0,6,0,108,0,5,0,5,0,27,61,464,34,221,27,241,0,2,51,314,0,6,6,108,0,5,0,5,4,26,0,460,0,219,0,239,0,2,0,313,0,6,0,107,0,5,0,4,0,25,119,460,63,219,56,239,0,2,102,313,0,6,11,107,1,5,0,4,5,25,0,456,0,216,0,238,0,2,0,310,0,6,0,107,0,5,0,4,0,24,0,451,0,213,0,236,0,2,0,307,0,4,0,107,0,5,0,4,0,24,0,443,0,209,0,232,0,2,0,299,0,4,0,107,0,5,0,4,0,24,0,443,0,209,0,232,0,2,0,299,0,4,0,107,0,5,0,4,0,24,0,441,0,207,0,232,0,2,0,299,0,4,0,107,0,5,0,3,0,23,0,439,0,206,0,231,0,2,0,298,0,3,0,107,0,5,0,3,0,23,0,433,0,205,0,226,0,2,0,295,0,2,0,106,0,5,0,3,0,22,306,422,143,198,162,222,1,2,211,288,1,2,70,103,3,4,1,3,20,22,2,416,0,193,2,221,0,2,0,287,0,2,2,100,0,4,0,3,0,20,136,390,67,177,69,211,0,2,101,271,0,2,27,95,1,3,1,3,6,16,136,390,67,177,69,211,0,2,101,271,0,2,27,95,1,3,1,3,6,16
Autauga-:-10 JONES COMM_ CTR_,544,1,29,55,51,62,96,114,83,46,7,252,292,0,296,219,29,0,36,314,6,202,0,3,19,314,200,6,2,3,0,0,0,0,0,0,0,0,0,55,307,0,0,0,0,0,0,273,3198594.0,224,544,106,252,118,292,0,0,148,314,1,6,71,202,0,0,0,3,4,19,0,541,0,250,0,291,0,0,0,311,0,6,0,202,0,0,0,3,0,19,0,535,0,248,0,287,0,0,0,308,0,6,0,200,0,0,0,3,0,18,104,534,54,248,50,286,0,0,69,307,1,6,32,200,0,0,0,3,2,18,0,533,0,248,0,285,0,0,0,306,0,6,0,200,0,0,0,3,0,18,166,533,79,248,87,285,0,0,112,306,1,6,50,200,0,0,0,3,3,18,0,532,0,247,0,285,0,0,0,305,0,6,0,200,0,0,0,3,0,18,0,531,0,247,0,284,0,0,0,305,0,6,0,199,0,0,0,3,0,18,0,528,0,244,0,284,0,0,0,304,0,6,0,198,0,0,0,2,0,18,0,528,0,244,0,284,0,0,0,304,0,6,0,198,0,0,0,2,0,18,0,525,0,242,0,283,0,0,0,301,0,6,0,198,0,0,0,2,0,18,0,525,0,242,0,283,0,0,0,301,0,6,0,198,0,0,0,2,0,18,0,517,0,237,0,280,0,0,0,296,0,6,0,196,0,0,0,2,0,17,351,513,160,235,191,278,0,0,209,295,3,6,129,194,0,0,1,2,9,16,0,509,0,232,0,277,0,0,0,292,0,5,0,194,0,0,0,2,0,16,195,487,89,222,106,265,0,0,115,279,2,3,76,188,0,0,1,2,1,15,195,487,89,222,106,265,0,0,115,279,2,3,76,188,0,0,1,2,1,15
Autauga-:-100 TRINITY METHODIST,3150,26,216,229,253,428,483,516,459,370,170,1454,1695,1,2497,460,193,0,8,2561,76,291,30,20,172,2561,287,71,4,5,10,10,9,3,6,3,2,0,1,180,1698,2,0,2,0,0,5,1451,5895139.0,1581,3146,738,1453,843,1692,0,1,1379,2560,28,75,78,290,10,30,13,20,73,171,0,3116,0,1442,0,1673,0,1,0,2537,0,74,0,289,0,28,0,19,0,169,0,3093,0,1432,0,1660,0,1,0,2520,0,74,0,285,0,27,0,19,0,168,677,3081,327,1427,350,1653,0,1,631,2516,5,71,6,282,1,27,3,19,31,166,0,3073,0,1425,0,1647,0,1,0,2513,0,70,0,279,0,27,0,19,0,165,1022,3073,469,1425,553,1647,0,1,928,2513,14,70,30,279,4,27,7,19,39,165,0,3045,0,1412,0,1632,0,1,0,2494,0,68,0,275,0,27,0,19,0,162,0,3025,0,1400,0,1624,0,1,0,2476,0,68,0,273,0,27,0,19,0,162,0,3004,0,1389,0,1614,0,1,0,2461,0,66,0,272,0,27,0,19,0,159,0,3004,0,1389,0,1614,0,1,0,2461,0,66,0,272,0,27,0,19,0,159,0,3002,0,1388,0,1613,0,1,0,2459,0,66,0,272,0,27,0,19,0,159,0,3001,0,1388,0,1612,0,1,0,2458,0,66,0,272,0,27,0,19,0,159,0,2964,0,1368,0,1595,0,1,0,2432,0,66,0,266,0,26,0,19,0,155,2116,2923,942,1346,1173,1576,1,1,1799,2405,40,61,150,262,18,24,12,18,97,153,2,2900,1,1333,1,1566,0,1,1,2388,0,60,1,259,0,22,0,18,0,153,1224,2791,577,1282,646,1508,1,1,1045,2309,23,54,80,242,7,20,8,18,61,148,1224,2791,577,1282,646,1508,1,1,1045,2309,23,54,80,242,7,20,8,18,61,148
Autauga-:-110 CENTRAL AL ELECTRIC,443,2,21,19,31,61,67,85,84,52,20,212,231,0,159,270,14,0,18,161,1,268,1,0,12,161,264,1,4,0,1,0,0,0,0,0,0,0,0,30,278,0,0,0,1,0,0,182,1954484.0,202,443,83,212,119,231,0,0,93,161,0,1,104,268,0,1,0,0,5,12,0,440,0,210,0,230,0,0,0,159,0,1,0,267,0,1,0,0,0,12,0,439,0,209,0,230,0,0,0,158,0,1,0,267,0,1,0,0,0,12,66,439,28,209,38,230,0,0,42,158,0,1,23,267,0,1,0,0,1,12,0,439,0,209,0,230,0,0,0,158,0,1,0,267,0,1,0,0,0,12,120,439,52,209,68,230,0,0,68,158,0,1,47,267,0,1,0,0,5,12,0,438,0,208,0,230,0,0,0,157,0,1,0,267,0,1,0,0,0,12,0,437,0,208,0,229,0,0,0,156,0,1,0,267,0,1,0,0,0,12,0,437,0,208,0,229,0,0,0,156,0,1,0,267,0,1,0,0,0,12,0,437,0,208,0,229,0,0,0,156,0,1,0,267,0,1,0,0,0,12,0,437,0,208,0,229,0,0,0,156,0,1,0,267,0,1,0,0,0,12,0,437,0,208,0,229,0,0,0,156,0,1,0,267,0,1,0,0,0,12,0,429,0,205,0,224,0,0,0,150,0,1,0,265,0,1,0,0,0,12,293,425,126,202,167,223,0,0,121,147,0,1,166,264,0,1,0,0,6,12,0,422,0,200,0,222,0,0,0,146,0,1,0,262,0,1,0,0,0,12,167,409,66,192,101,217,0,0,67,143,0,1,94,253,0,1,0,0,6,11,167,409,66,192,101,217,0,0,67,143,0,1,94,253,0,1,0,0,6,11
Autauga-:-140 AUTAUGAVILLE VFD,1155,2,69,93,87,188,197,224,187,82,26,526,629,0,502,611,42,0,44,517,15,587,2,5,29,517,582,15,5,3,1,1,0,0,0,0,1,0,1,73,563,0,0,0,0,0,0,636,4590374.0,501,1154,216,525,285,629,0,0,275,517,4,15,204,586,0,2,2,5,16,29,0,1149,0,522,0,627,0,0,0,515,0,15,0,584,0,2,0,5,0,28,0,1139,0,516,0,623,0,0,0,511,0,15,0,578,0,2,0,5,0,28,179,1138,85,516,94,622,0,0,135,511,0,15,38,577,0,2,1,5,5,28,0,1133,0,514,0,619,0,0,0,509,0,13,0,576,0,2,0,5,0,28,333,1133,144,514,189,619,0,0,215,509,1,13,103,576,0,2,2,5,12,28,0,1122,0,511,0,611,0,0,0,503,0,13,0,571,0,2,0,5,0,28,0,1115,0,508,0,607,0,0,0,499,0,13,0,569,0,2,0,5,0,27,0,1108,0,502,0,606,0,0,0,498,0,12,0,566,0,2,0,5,0,25,0,1108,0,502,0,606,0,0,0,498,0,12,0,566,0,2,0,5,0,25,0,1107,0,501,0,606,0,0,0,498,0,12,0,565,0,2,0,5,0,25,0,1106,0,501,0,605,0,0,0,498,0,12,0,565,0,2,0,5,0,24,0,1090,0,490,0,600,0,0,0,490,0,11,0,559,0,2,0,5,0,23,772,1073,317,481,455,592,0,0,384,482,8,11,360,550,1,2,4,5,15,23,0,1064,0,478,0,586,0,0,0,479,0,11,0,544,0,2,0,5,0,23,406,1031,158,460,248,571,0,0,214,458,5,11,174,532,0,2,3,5,10,23,406,1031,158,460,248,571,0,0,214,458,5,11,174,532,0,2,3,5,10,23
Autauga-:-150 PRATTMONT BAPTIST,1541,6,105,171,187,310,228,215,182,101,36,688,853,0,1028,379,134,0,40,1109,41,284,11,12,84,1109,282,40,2,4,1,0,1,7,0,1,1,0,0,124,653,2,0,1,1,0,1,923,2960849.0,569,1537,257,686,312,851,0,0,440,1106,10,41,85,283,4,11,4,12,26,84,0,1524,0,684,0,840,0,0,0,1096,0,40,0,281,0,11,0,12,0,84,0,1504,0,674,0,830,0,0,0,1080,0,40,0,279,0,11,0,12,0,82,210,1495,102,668,108,827,0,0,182,1071,2,40,12,279,2,11,1,12,11,82,0,1484,0,664,0,820,0,0,0,1062,0,40,0,278,0,11,0,11,0,82,358,1484,157,664,201,820,0,0,289,1062,7,40,37,278,5,11,2,11,18,82,0,1465,0,656,0,809,0,0,0,1052,0,40,0,272,0,10,0,11,0,80,0,1456,0,651,0,805,0,0,0,1048,0,39,0,270,0,10,0,11,0,78,0,1441,0,645,0,796,0,0,0,1039,0,38,0,266,0,10,0,11,0,77,0,1441,0,645,0,796,0,0,0,1039,0,38,0,266,0,10,0,11,0,77,0,1438,0,644,0,794,0,0,0,1037,0,38,0,266,0,10,0,10,0,77,0,1437,0,643,0,794,0,0,0,1036,0,38,0,266,0,10,0,10,0,77,0,1414,0,628,0,786,0,0,0,1018,0,38,0,264,0,9,0,10,0,75,932,1382,405,613,527,769,0,0,700,998,20,36,158,259,6,9,4,9,44,71,0,1369,0,606,0,763,0,0,0,989,0,36,0,255,0,9,0,9,0,71,417,1285,185,563,232,722,0,0,311,931,10,35,68,240,6,8,2,9,20,62,417,1285,185,563,232,722,0,0,311,931,10,35,68,240,6,8,2,9,20,62
Autauga-:-160 DOSTER COMM_ CTR_,8672,58,733,678,727,1424,1454,1577,1153,664,201,3989,4682,1,5736,2434,502,0,110,5878,171,2123,36,58,406,5878,2099,167,24,20,12,10,4,4,9,21,2,0,1,516,4359,11,3,3,2,1,6,4397,18492081.0,3760,8660,1724,3982,2035,4677,1,1,2808,5872,52,170,700,2120,14,36,22,58,164,404,0,8602,0,3959,0,4642,0,1,0,5839,0,163,0,2109,0,36,0,57,0,398,0,8527,0,3922,0,4604,0,1,0,5790,0,156,0,2094,0,36,0,55,0,396,1175,8502,593,3914,582,4587,0,1,1037,5776,4,155,72,2087,8,36,5,54,49,394,0,8490,0,3907,0,4582,0,1,0,5769,0,154,0,2086,0,36,0,54,0,391,2359,8490,1120,3907,1239,4582,0,1,1917,5769,25,154,288,2086,11,36,14,54,104,391,0,8417,0,3867,0,4549,0,1,0,5721,0,150,0,2070,0,36,0,53,0,387,0,8347,0,3831,0,4515,0,1,0,5673,0,147,0,2056,0,36,0,53,0,382,0,8279,0,3791,0,4487,0,1,0,5633,0,139,0,2042,0,36,0,53,0,376,0,8279,0,3791,0,4487,0,1,0,5633,0,139,0,2042,0,36,0,53,0,376,0,8266,0,3785,0,4480,0,1,0,5622,0,139,0,2042,0,36,0,53,0,374,0,8258,0,3781,0,4476,0,1,0,5617,0,139,0,2040,0,36,0,53,0,373,0,8154,0,3720,0,4433,0,1,0,5543,0,134,0,2018,0,35,0,53,0,371,5522,8022,2419,3637,3103,4385,0,0,3951,5468,83,127,1212,1979,28,35,27,50,221,363,8,7932,1,3588,7,4344,0,0,1,5410,0,125,6,1954,0,35,0,49,1,359,2757,7515,1272,3357,1485,4158,0,0,2037,5123,27,113,560,1865,12,34,11,47,110,333,2757,7515,1272,3357,1485,4158,0,0,2037,5123,27,113,560,1865,12,34,11,47,110,333
Autauga-:-170 CAMELLIA BAPTIST,2252,16,166,207,221,343,334,373,306,205,80,982,1269,1,1386,687,179,0,10,1536,67,542,13,11,83,1536,539,67,3,5,5,3,1,1,2,0,4,0,0,93,1132,4,0,2,0,0,0,1124,2051793.0,992,2247,422,979,570,1267,0,1,726,1533,14,67,197,541,6,13,8,11,41,82,0,2235,0,971,0,1263,0,1,0,1526,0,65,0,538,0,13,0,11,0,82,0,2218,0,962,0,1255,0,1,0,1513,0,63,0,537,0,12,0,11,0,82,296,2210,132,961,164,1248,0,1,255,1509,6,63,19,534,2,12,3,11,11,81,0,2202,0,957,0,1244,0,1,0,1503,0,63,0,533,0,12,0,11,0,80,592,2202,251,957,341,1244,0,1,477,1503,10,63,72,533,3,12,4,11,26,80,0,2179,0,950,0,1228,0,1,0,1485,0,63,0,528,0,12,0,11,0,80,0,2164,0,944,0,1219,0,1,0,1477,0,62,0,525,0,12,0,11,0,77,0,2148,0,932,0,1215,0,1,0,1466,0,62,0,522,0,12,0,11,0,75,0,2148,0,932,0,1215,0,1,0,1466,0,62,0,522,0,12,0,11,0,75,0,2142,0,930,0,1211,0,1,0,1463,0,62,0,520,0,12,0,11,0,74,0,2140,0,928,0,1211,0,1,0,1462,0,62,0,519,0,12,0,11,0,74,0,2100,0,909,0,1190,0,1,0,1437,0,59,0,508,0,12,0,11,0,73,1466,2066,610,894,856,1171,0,1,1028,1413,34,56,339,501,8,12,10,11,47,73,0,2039,0,882,0,1157,0,0,0,1398,0,53,0,493,0,11,0,11,0,73,715,1936,317,821,398,1115,0,0,522,1323,10,50,152,473,3,10,4,11,24,69,715,1936,317,821,398,1115,0,0,522,1323,10,50,152,473,3,10,4,11,24,69
Autauga-:-180 OLD KINGSTON VFD,1284,5,79,113,119,228,201,237,194,89,19,612,672,0,704,496,84,0,9,706,26,491,5,6,50,706,488,26,3,4,0,0,1,3,0,0,1,1,0,59,636,2,1,1,0,0,2,651,2591574.0,448,1282,200,610,248,672,0,0,249,704,3,26,176,491,2,5,2,6,16,50,0,1275,0,608,0,667,0,0,0,699,0,26,0,489,0,5,0,6,0,50,0,1267,0,605,0,662,0,0,0,694,0,26,0,487,0,5,0,6,0,49,115,1263,58,605,57,658,0,0,72,691,0,26,39,486,0,5,1,6,3,49,0,1259,0,604,0,655,0,0,0,688,0,26,0,485,0,5,0,6,0,49,267,1259,129,604,138,655,0,0,158,688,0,26,97,485,0,5,1,6,11,49,0,1253,0,599,0,654,0,0,0,684,0,26,0,484,0,5,0,6,0,48,0,1248,0,595,0,653,0,0,0,680,0,25,0,484,0,5,0,6,0,48,0,1239,0,592,0,647,0,0,0,676,0,25,0,480,0,5,0,6,0,47,0,1239,0,592,0,647,0,0,0,676,0,25,0,480,0,5,0,6,0,47,0,1238,0,592,0,646,0,0,0,675,0,25,0,480,0,5,0,6,0,47,0,1237,0,592,0,645,0,0,0,674,0,25,0,480,0,5,0,6,0,47,0,1222,0,584,0,638,0,0,0,663,0,24,0,477,0,5,0,6,0,47,759,1201,339,570,420,631,0,0,415,647,7,24,300,473,5,5,3,6,29,46,0,1191,0,565,0,626,0,0,0,642,0,24,0,469,0,5,0,6,0,45,399,1143,178,541,221,602,0,0,199,611,1,22,181,456,0,5,3,6,15,43,399,1143,178,541,221,602,0,0,199,611,1,22,181,456,0,5,3,6,15,43
Autauga-:-20 HERITAGE BAPTIST,3201,15,226,258,288,491,458,556,474,303,131,1441,1760,0,2407,548,246,0,11,2578,63,334,37,20,169,2578,329,63,5,8,10,2,10,6,6,5,5,0,1,180,1708,5,0,0,1,1,2,1495,4266586.0,1542,3195,705,1437,837,1758,0,0,1306,2575,26,63,115,332,8,37,8,20,79,168,0,3181,0,1432,0,1749,0,0,0,2568,0,63,0,327,0,35,0,20,0,168,0,3140,0,1410,0,1730,0,0,0,2538,0,62,0,324,0,35,0,19,0,162,557,3118,257,1404,300,1714,0,0,509,2523,3,62,10,319,4,34,2,19,29,161,0,3108,0,1399,0,1709,0,0,0,2516,0,61,0,317,0,34,0,19,0,161,973,3108,453,1399,520,1709,0,0,869,2516,7,61,36,317,8,34,4,19,49,161,0,3084,0,1389,0,1695,0,0,0,2498,0,61,0,312,0,34,0,19,0,160,0,3054,0,1377,0,1677,0,0,0,2476,0,58,0,309,0,34,0,19,0,158,0,3024,0,1361,0,1663,0,0,0,2455,0,55,0,305,0,33,0,19,0,157,0,3024,0,1361,0,1663,0,0,0,2455,0,55,0,305,0,33,0,19,0,157,0,3008,0,1351,0,1657,0,0,0,2441,0,55,0,304,0,32,0,19,0,157,0,3006,0,1350,0,1656,0,0,0,2439,0,55,0,304,0,32,0,19,0,157,0,2962,0,1326,0,1636,0,0,0,2409,0,55,0,296,0,31,0,19,0,152,2129,2918,925,1297,1204,1621,0,0,1752,2379,37,52,203,288,20,30,12,19,105,150,2,2888,1,1282,1,1606,0,0,2,2358,0,52,0,281,0,29,0,19,0,149,1140,2749,501,1211,639,1538,0,0,973,2256,14,49,95,258,5,26,6,17,47,143,1140,2749,501,1211,639,1538,0,0,973,2256,14,49,95,258,5,26,6,17,47,143
