Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
223-BEULAHLAND BAPTIST CHURCH,3026,0,3055,2630,167,0,5,265,0,0,11,0,0,11,8,168,2295,0,2317,2070,128,0,7,160,0,0,11,0,0,11,8,128
223-BURNT HICKORY PARK,10146,539,9614,9402,137,0,0,0,0,2,19,45,0,19,45,137,7768,261,7502,7315,134,0,0,0,0,0,14,30,0,14,30,133
223-CROSSROADS LIBRARY,5279,375,4901,3767,1055,0,0,0,0,40,0,30,0,0,30,1095,3535,255,3279,2412,825,0,0,0,0,30,0,10,0,0,10,855
223-D WRIGHT INNOVATION CTR,9494,545,8951,5700,2976,29,15,0,60,136,20,35,10,57,50,3111,7004,357,6642,4292,2249,29,15,0,20,0,14,35,4,46,50,2246
223-DOBBINS MIDDLE SCHOOL,10889,524,10359,5418,4442,0,55,0,35,309,65,35,0,66,90,4756,7878,369,7515,3825,3526,0,55,0,15,0,64,35,0,65,90,3531
223-EAST PAULDING MIDDLE SCH,18257,1935,16295,13805,1920,0,0,0,140,215,48,45,4,71,45,2152,13209,1105,12085,10340,1390,0,0,0,140,25,48,45,16,82,45,1429
223-EVENTS PLACE,7391,790,6587,1788,4201,0,135,0,155,343,10,141,30,21,347,4553,5362,395,4951,1619,3075,0,75,0,155,244,10,51,18,10,125,3320
223-LEGACY BAPT CHURCH,6310,159,6168,4189,1509,0,25,0,20,304,69,54,0,69,80,1808,5085,69,5036,3453,1315,0,10,0,20,105,65,54,0,65,65,1416
223-MULBERRY ROCK PARK,7662,41,7615,5874,1439,0,20,0,26,130,132,0,0,132,20,1569,5512,29,5479,4588,761,0,10,0,0,0,117,0,0,117,10,762
223-NEBO ELEM SCHOOL,14327,751,13573,11141,1848,0,30,0,119,294,127,10,0,127,40,2141,10161,463,9709,7709,1692,0,30,0,80,95,87,0,0,87,30,1784
223-PAULDING COUNTY AIRPORT,5019,0,5029,4584,277,0,0,0,0,0,4,96,0,4,80,277,3618,0,3615,3348,162,0,0,0,0,0,4,0,0,4,0,161
223-PAULDING SR CENTER,9158,586,8568,5935,2174,29,151,0,90,255,63,75,0,95,221,2423,6515,351,6168,4274,1824,29,78,0,25,30,29,75,0,62,155,1850
223-POPLAR SPRGS BAPT CHURCH,6450,449,6028,3560,1933,0,35,0,0,248,0,124,0,0,90,2170,5039,362,4710,2831,1379,0,34,0,0,193,0,34,0,0,72,1597
223-RUSSOM ELEMENTARY,14226,888,13348,9328,2879,0,320,0,305,189,52,3,65,114,329,3147,10121,549,9574,6970,1793,0,255,0,205,35,51,1,65,114,256,1898
223-SHELTON ELEMENTARY,7270,661,6611,4843,1343,0,260,0,0,165,0,27,0,0,284,1501,5473,475,4992,3688,1056,0,165,0,0,90,0,9,0,0,174,1144
223-TAYLOR FARM PARK,4678,431,4245,3412,704,0,0,0,0,99,6,21,0,7,18,823,3993,336,3651,2984,649,0,0,0,0,23,2,21,0,2,18,666
223-WATSON GOVT CMPLX,15984,1090,14826,10096,4041,16,96,0,41,316,214,64,0,229,165,4365,12011,540,11432,8519,2520,16,87,0,35,100,139,80,0,152,156,2632
223-WHITE OAK PARK,8879,680,8212,6598,1385,0,48,0,24,93,15,25,0,16,83,1481,6726,393,6328,5243,906,0,49,0,30,55,15,0,0,16,56,960
