Precinct,C_TOT22,C_HSP22,C_NHS22,C_WHT22,C_BLA22,C_AMI22,C_ASI22,C_NHP22,C_2OM22,C_BLW22,C_AIW22,C_ASW22,C_AIB22,C_AIA22,C_ASN22,C_BLK22,CVAP_TOT22,CVAP_HSP22,CVAP_NHS22,CVAP_WHT22,CVAP_BLA22,CVAP_AMI22,CVAP_ASI22,CVAP_NHP22,CVAP_2OM22,CVAP_BLW22,CVAP_AIW22,CVAP_ASW22,CVAP_AIB22,CVAP_AIA22,CVAP_ASN22,CVAP_BLK22
St. Bernard-:-00 10,1051,85,953,598,317,0,35,0,0,0,14,0,0,14,33,316,830,58,760,492,237,0,21,0,0,0,15,0,0,16,18,240
St. Bernard-:-00 11,1253,169,1095,991,116,0,18,0,0,10,0,0,0,0,19,120,1068,143,928,833,93,0,18,0,0,4,0,0,0,0,19,95
St. Bernard-:-00 12,968,56,924,629,105,0,95,0,0,85,9,0,0,9,97,191,672,47,630,464,95,0,65,0,0,0,8,0,0,7,67,92
St. Bernard-:-00 13,1769,165,1610,885,701,0,64,0,0,0,5,0,0,6,64,690,1305,131,1180,736,419,0,37,0,0,0,5,0,0,5,38,415
St. Bernard-:-00 14,1826,99,1733,1031,565,0,32,0,0,33,7,2,0,6,28,630,1315,60,1258,780,390,0,31,0,0,30,7,4,0,7,29,418
St. Bernard-:-00 15,1158,70,1100,422,541,0,54,0,0,84,0,2,0,0,57,597,768,36,736,314,354,0,41,0,0,15,0,0,0,0,45,388
St. Bernard-:-00 20,1321,94,1197,906,164,1,15,0,25,2,4,23,0,5,41,173,1069,64,985,768,137,1,16,0,19,2,4,5,0,5,20,142
St. Bernard-:-00 21,1020,34,973,949,37,0,4,0,0,0,0,0,0,0,9,38,769,12,741,721,23,0,0,0,0,0,0,0,0,0,2,23
St. Bernard-:-00 22,1521,90,1456,826,577,50,0,0,0,0,29,0,0,69,0,572,990,49,957,594,332,20,0,0,0,0,23,0,0,41,0,330
St. Bernard-:-00 23,1482,248,1220,331,685,25,35,0,0,42,19,0,0,44,36,752,974,107,862,256,433,25,15,0,0,30,17,0,0,43,16,449
St. Bernard-:-00 24,2159,115,2031,1657,293,0,65,0,0,46,45,0,0,53,64,324,1643,69,1564,1436,164,0,25,0,0,0,33,0,0,32,24,167
St. Bernard-:-00 25,1486,71,1416,814,604,0,24,0,1,7,0,0,0,0,27,599,1072,33,1042,637,410,0,21,0,1,0,0,0,0,0,22,404
St. Bernard-:-00 30,1693,84,1645,1421,158,13,27,0,5,22,10,22,0,23,45,178,1351,38,1337,1185,117,13,16,0,6,12,10,5,0,23,21,126
St. Bernard-:-00 31,1389,167,1206,849,332,5,0,0,0,0,10,0,0,15,0,333,1050,73,957,727,203,5,0,0,0,0,10,0,0,15,0,205
St. Bernard-:-00 32,3146,186,2956,2121,572,0,189,0,3,68,0,0,0,0,183,647,2369,104,2258,1629,454,0,141,0,3,32,0,0,0,0,136,495
St. Bernard-:-00 33,1720,66,1667,1069,466,0,45,0,0,22,0,0,0,0,50,501,1290,41,1259,822,310,0,38,0,0,7,0,0,0,0,42,317
St. Bernard-:-00 34,766,30,719,340,300,0,52,0,0,63,0,0,0,0,50,355,568,11,547,272,278,0,35,0,0,11,0,0,0,0,35,286
St. Bernard-:-00 40,253,19,234,119,93,0,15,0,0,0,7,0,0,4,13,95,172,16,156,77,68,0,15,0,0,0,7,0,0,4,13,69
St. Bernard-:-00 41,1412,197,1215,990,160,0,100,0,0,0,0,0,0,0,80,160,1048,96,951,785,131,0,79,0,0,0,0,0,0,0,62,131
St. Bernard-:-00 42,1411,157,1260,1157,122,0,0,0,0,0,13,0,0,16,2,120,1038,88,950,860,82,0,0,0,0,0,13,0,0,16,2,81
St. Bernard-:-00 42A,2046,95,1937,1828,92,0,4,0,4,0,15,4,0,15,8,93,1646,83,1560,1480,55,0,4,0,4,0,15,4,0,15,8,55
St. Bernard-:-00 43,1151,161,1007,847,34,0,44,0,0,0,1,0,0,9,64,35,830,61,777,662,18,0,35,0,0,0,1,0,0,6,52,18
St. Bernard-:-00 44,915,14,914,186,693,0,0,0,0,0,0,0,0,0,0,692,649,13,639,113,505,0,0,0,0,0,0,0,0,0,0,505
St. Bernard-:-00 45,1101,73,1015,195,795,0,0,0,0,0,6,0,0,9,0,799,696,60,621,152,448,0,0,0,0,0,6,0,0,11,0,448
St. Bernard-:-00 46,802,44,767,615,48,165,0,0,0,0,9,0,0,166,0,46,587,47,555,462,37,80,0,0,0,0,9,0,0,84,0,37
St. Bernard-:-00 50,1878,120,1751,527,1221,0,0,0,0,0,6,0,15,15,0,1228,1248,105,1137,390,750,0,0,0,0,0,6,0,15,8,0,758
St. Bernard-:-00 51,629,124,497,423,45,1,0,0,0,30,4,0,0,4,0,57,509,82,415,358,45,1,0,0,0,0,4,0,0,5,0,45
St. Bernard-:-00 52,1192,134,1049,589,394,0,0,0,0,30,0,2,0,5,2,420,912,96,809,428,332,0,0,0,0,0,0,10,0,10,4,339
St. Bernard-:-00 53,809,129,648,648,26,17,0,0,0,0,0,0,0,20,0,23,528,107,407,400,15,12,0,0,0,0,0,0,0,14,0,14
St. Bernard-:-00 54,1239,339,906,744,117,33,0,0,0,0,0,8,0,30,8,128,957,306,658,567,56,38,0,0,0,0,0,0,0,36,6,57
St. Bernard-:-00 55,2549,544,2039,1898,42,3,0,0,45,0,0,0,0,4,0,62,1847,376,1489,1405,39,3,0,0,30,0,0,0,0,3,0,39
