Precinct,TOTAL_Reg,WHITE_Reg,BLACK_Reg,OTHER_Reg,TOTAL_Dem_Reg,WHITE_Dem_Reg,BLACK_Dem_Reg,OTHER_Dem_Reg,TOTAL_Rep_Reg,WHITE_Rep_Reg,BLACK_Rep_Reg,OTHER_Rep_Reg,TOTAL_Oth_Reg,WHITE_Oth_Reg,BLACK_Oth_Reg,OTHER_Oth_Reg,TOTAL_Voted,WHITE_Voted,BLACK_Voted,OTHER_Voted,TOTAL_Dem_Voted,WHITE_Dem_Voted,BLACK_Dem_Voted,OTHER_Dem_Voted,TOTAL_Rep_Voted,WHITE_Rep_Voted,BLACK_Rep_Voted,OTHER_Rep_Voted,TOTAL_Oth_Voted,WHITE_Oth_Voted,BLACK_Oth_Voted,OTHER_Oth_Voted,TOTAL_Pct,WHITE_Pct,BLACK_Pct,OTHER_Pct,TOTAL_Dem_Pct,WHITE_Dem_Pct,BLACK_Dem_Pct,OTHER_Dem_Pct,TOTAL_Rep_Pct,WHITE_Rep_Pct,BLACK_Rep_Pct,OTHER_Rep_Pct,TOTAL_Oth_Pct,WHITE_Oth_Pct,BLACK_Oth_Pct,OTHER_Oth_Pct
St. Bernard-:-00 10,703.0,545.0,100.0,58.0,251.0,165.0,65.0,21.0,175.0,168.0,2.0,5.0,277.0,212.0,33.0,32.0,275.0,242.0,19.0,14.0,94.0,70.0,18.0,6.0,85.0,83.0,0.0,2.0,96.0,89.0,1.0,6.0,39.12,44.4,19.0,24.14,37.45,42.42,27.69,28.57,48.57,49.4,0.0,40.0,34.66,41.98,3.03,18.75
St. Bernard-:-00 11,915.0,767.0,79.0,69.0,340.0,256.0,62.0,22.0,242.0,231.0,2.0,9.0,333.0,280.0,15.0,38.0,418.0,381.0,13.0,24.0,145.0,125.0,11.0,9.0,144.0,138.0,0.0,6.0,129.0,118.0,2.0,9.0,45.68,49.67,16.46,34.78,42.65,48.83,17.74,40.91,59.5,59.74,0.0,66.67,38.74,42.14,13.33,23.68
St. Bernard-:-00 12,783.0,607.0,92.0,84.0,312.0,214.0,69.0,29.0,213.0,193.0,1.0,19.0,258.0,200.0,22.0,36.0,278.0,237.0,25.0,16.0,109.0,86.0,19.0,4.0,84.0,81.0,0.0,3.0,85.0,70.0,6.0,9.0,35.5,39.04,27.17,19.05,34.94,40.19,27.54,13.79,39.44,41.97,0.0,15.79,32.95,35.0,27.27,25.0
St. Bernard-:-00 13,1309.0,837.0,306.0,166.0,510.0,237.0,223.0,50.0,345.0,306.0,6.0,33.0,454.0,294.0,77.0,83.0,465.0,386.0,42.0,37.0,166.0,119.0,34.0,13.0,166.0,157.0,0.0,9.0,133.0,110.0,8.0,15.0,35.52,46.12,13.73,22.29,32.55,50.21,15.25,26.0,48.12,51.31,0.0,27.27,29.3,37.41,10.39,18.07
St. Bernard-:-00 14,955.0,607.0,255.0,93.0,381.0,172.0,183.0,26.0,223.0,197.0,7.0,19.0,351.0,238.0,65.0,48.0,302.0,240.0,40.0,22.0,110.0,66.0,35.0,9.0,108.0,101.0,1.0,6.0,84.0,73.0,4.0,7.0,31.62,39.54,15.69,23.66,28.87,38.37,19.13,34.62,48.43,51.27,14.29,31.58,23.93,30.67,6.15,14.58
St. Bernard-:-00 15,671.0,298.0,267.0,106.0,303.0,89.0,195.0,19.0,121.0,92.0,7.0,22.0,247.0,117.0,65.0,65.0,182.0,129.0,37.0,16.0,73.0,39.0,31.0,3.0,51.0,44.0,1.0,6.0,58.0,46.0,5.0,7.0,27.12,43.29,13.86,15.09,24.09,43.82,15.9,15.79,42.15,47.83,14.29,27.27,23.48,39.32,7.69,10.77
St. Bernard-:-00 20,675.0,566.0,57.0,52.0,206.0,158.0,33.0,15.0,194.0,183.0,1.0,10.0,275.0,225.0,23.0,27.0,225.0,210.0,7.0,8.0,67.0,59.0,6.0,2.0,91.0,87.0,0.0,4.0,67.0,64.0,1.0,2.0,33.33,37.1,12.28,15.38,32.52,37.34,18.18,13.33,46.91,47.54,0.0,40.0,24.36,28.44,4.35,7.41
St. Bernard-:-00 21,562.0,435.0,66.0,61.0,185.0,122.0,41.0,22.0,145.0,136.0,1.0,8.0,232.0,177.0,24.0,31.0,229.0,199.0,16.0,14.0,69.0,53.0,11.0,5.0,75.0,73.0,1.0,1.0,85.0,73.0,4.0,8.0,40.75,45.75,24.24,22.95,37.3,43.44,26.83,22.73,51.72,53.68,100.0,12.5,36.64,41.24,16.67,25.81
St. Bernard-:-00 22,755.0,428.0,260.0,67.0,317.0,125.0,176.0,16.0,179.0,152.0,10.0,17.0,259.0,151.0,74.0,34.0,196.0,164.0,24.0,8.0,74.0,55.0,18.0,1.0,72.0,69.0,0.0,3.0,50.0,40.0,6.0,4.0,25.96,38.32,9.23,11.94,23.34,44.0,10.23,6.25,40.22,45.39,0.0,17.65,19.31,26.49,8.11,11.76
St. Bernard-:-00 23,626.0,198.0,346.0,82.0,308.0,62.0,225.0,21.0,71.0,51.0,10.0,10.0,247.0,85.0,111.0,51.0,68.0,34.0,28.0,6.0,35.0,12.0,22.0,1.0,13.0,11.0,0.0,2.0,20.0,11.0,6.0,3.0,10.86,17.17,8.09,7.32,11.36,19.35,9.78,4.76,18.31,21.57,0.0,20.0,8.1,12.94,5.41,5.88
